CONTROL PRESTAMOS - QA TECNICO FINAL LIMPIO
Fecha: 20260613-195927

OK: 54
WARN: 0
FAIL: 0
TOTAL: 54

=====================================================
PROBLEMAS
=====================================================
Sin fallos ni advertencias.

=====================================================
TODOS LOS CHECKS
=====================================================
OK | Reglas | FinancialOperationRules | app\src\main\java\com\controlprestamos\core\rules\FinancialOperationRules.kt | object FinancialOperationRules | L10
OK | Cuotas | Vencimientos | app\src\main\java\com\controlprestamos\features\installments\data\LocalInstallmentRepository.kt | refreshOverdueStatuses | L31, L38, L43, L52, L60
OK | Dashboard | Dashboard reglas | app\src\main\java\com\controlprestamos\features\dashboard\presentation\DashboardScreen.kt | FinancialOperationRules | L32, L738, L746, L758
OK | Dashboard | Dashboard operativo | app\src\main\java\com\controlprestamos\features\dashboard\presentation\DashboardScreen.kt | shouldCountLoanInOperationalReports | L746
OK | Reportes | Reportes reglas | app\src\main\java\com\controlprestamos\features\reports\presentation\ReportsScreen.kt | FinancialOperationRules | L34, L689, L697, L709
OK | Reportes | Reportes pagos activos | app\src\main\java\com\controlprestamos\features\reports\presentation\ReportsScreen.kt | shouldCountPaymentFinancially | L709
OK | Backup | Inspect backup | app\src\main\java\com\controlprestamos\features\backup\data\LocalBackupRepository.kt | inspectBackup | L151, L295
OK | Backup | Restore backup | app\src\main\java\com\controlprestamos\features\backup\data\LocalBackupRepository.kt | restoreBackup | L291
OK | Backup | Schema version | app\src\main\java\com\controlprestamos\features\backup\data\LocalBackupRepository.kt | schemaVersion | L88
OK | Backup | Reload repos | app\src\main\java\com\controlprestamos\features\backup\data\LocalBackupRepository.kt | reloadFromStorage | L366, L367, L368, L369, L370
OK | Backup | Preview pantalla | app\src\main\java\com\controlprestamos\features\backup\presentation\BackupScreen.kt | inspectBackup | L117
OK | Auditoría | Pantalla auditoría | app\src\main\java\com\controlprestamos\features\audit\presentation\FinancialAuditScreen.kt | FinancialAuditScreen | L39
OK | Auditoría | Pagos huérfanos | app\src\main\java\com\controlprestamos\features\audit\presentation\FinancialAuditScreen.kt | orphanPayments | L52, L58, L59, L121, L122
OK | Auditoría | Reglas auditoría | app\src\main\java\com\controlprestamos\features\audit\presentation\FinancialAuditScreen.kt | FinancialOperationRules | L30, L512, L513
OK | PDF Cobranza | Generator | app\src\main\java\com\controlprestamos\features\clients\domain\collection\ClientCollectionPdfGenerator.kt | ClientCollectionPdfGenerator | L22
OK | PDF Cobranza | Resumen cartera | app\src\main\java\com\controlprestamos\features\clients\domain\collection\ClientCollectionPdfGenerator.kt | Resumen de cartera | L133
OK | PDF Cobranza | Mensaje WhatsApp | app\src\main\java\com\controlprestamos\features\clients\domain\collection\ClientCollectionPdfGenerator.kt | Mensaje sugerido para WhatsApp | L269
OK | PDF Cobranza | Usa reglas | app\src\main\java\com\controlprestamos\features\clients\domain\collection\ClientCollectionPdfGenerator.kt | FinancialOperationRules | L10, L385, L549
OK | PDF Recibo | Generator recibo | app\src\main\java\com\controlprestamos\features\payments\domain\receipt\PaymentReceiptPdfGenerator.kt | PaymentReceiptPdfGenerator | L13
OK | PDF Recibo | Formatter recibo | app\src\main\java\com\controlprestamos\features\payments\domain\receipt\PaymentReceiptFormatter.kt | PaymentReceiptFormatter | L12
OK | Preferencias | Nombre negocio | app\src\main\java\com\controlprestamos\features\preferences\data\LocalPreferencesRepository.kt | businessName | L6, L21, L33
OK | Preferencias | Moneda | app\src\main\java\com\controlprestamos\features\preferences\data\LocalPreferencesRepository.kt | currencySymbol | L7, L22, L34
OK | Preferencias | Fecha | app\src\main\java\com\controlprestamos\features\preferences\data\LocalPreferencesRepository.kt | dateFormat | L8, L23, L35
OK | Navegación | AppNavGraph | app\src\main\java\com\controlprestamos\core\navigation\AppNavGraph.kt | AppNavGraph | L41
OK | Navegación | Ruta auditoría | app\src\main\java\com\controlprestamos\core\navigation\AppRoutes.kt | FinancialAudit | L16
OK | Navegación | Ruta pago | app\src\main\java\com\controlprestamos\core\navigation\AppRoutes.kt | CreatePayment | L59
OK | Navegación | Ruta cartera | app\src\main\java\com\controlprestamos\core\navigation\AppRoutes.kt | LoansByClient | L27
